,start station name,end station name,tripduration,usertype,gender
478497,St Marks Pl & 2 Ave,Metropolitan Ave & Bedford Ave,431,Subscriber,1
107629,Lawrence St & Willoughby St,Broadway & E 14 St,378,Subscriber,1
308721,Bank St & Washington St,Pearl St & Hanover Square,1158,Subscriber,1
457483,William St & Pine St,South St & Gouverneur Ln,290,Subscriber,1
257848,W 22 St & 10 Ave,E 31 St & 3 Ave,743,Subscriber,1
373576,W 56 St & 10 Ave,Sullivan St & Washington Sq,220,Subscriber,1
56711,E 48 St & Madison Ave,E 51 St & 1 Ave,753,Subscriber,1
50199,W 15 St & 7 Ave,E 17 St & Broadway,634,Subscriber,1
376063,E 39 St & 3 Ave,W 56 St & 6 Ave,1343,Subscriber,1
507303,9 Ave & W 45 St,9 Ave & W 22 St,713,Subscriber,1
325102,Elizabeth St & Hester St,Cliff St & Fulton St,607,Subscriber,1
429739,William St & Pine St,Sullivan St & Washington Sq,1163,Subscriber,2
108181,Forsyth St & Broome St,1 Ave & E 18 St,1036,Subscriber,1
494179,Washington Square E,E 20 St & 2 Ave,530,Subscriber,2
516580,Grand Army Plaza & Central Park S,Broadway & W 36 St,831,Subscriber,1
410541,Front St & Washington St,Columbia Heights & Cranberry St,222,Subscriber,1
307176,Pershing Square North,,964,Subscriber,1
514570,W 41 St & 8 Ave,W 54 St & 9 Ave,436,Subscriber,1
472581,Central Park S & 6 Ave,E 48 St & Madison Ave,390,Subscriber,1
307447,E 17 St & Broadway,Broadway & E 22 St,165,Subscriber,1
422065,E 47 St & 2 Ave,E 47 St & 2 Ave,107,Subscriber,1
33507,Cumberland St & Lafayette Ave,Warren St & Church St,1500,Subscriber,1
189831,Forsyth St & Canal St,York St & Jay St,685,Subscriber,2
285666,Greenwich St & North Moore St,Murray St & West St,360,Subscriber,1
535887,State St & Smith St,Hancock St & Bedford Ave,1492,Subscriber,1
408432,Greenwich St & North Moore St,Cliff St & Fulton St,550,Subscriber,1
224569,E 5 St & Avenue C,Clinton St & Grand St,382,Subscriber,1
471832,W 41 St & 8 Ave,W 52 St & 5 Ave,450,Subscriber,1
91528,E 20 St & 2 Ave,Hicks St & Montague St,478,Subscriber,1
404122,Front St & Maiden Ln,E 19 St & 3 Ave,1471,Subscriber,1
503397,Henry St & Atlantic Ave,Atlantic Ave & Fort Greene Pl,840,Subscriber,1
115821,Lafayette Ave & Fort Greene Pl,Shevchenko Pl & E 7 St,266,Subscriber,1
519221,Cliff St & Fulton St,Stanton St & Mangin St,953,Subscriber,1
309764,Lafayette St & E 8 St,Lexington Ave & E 24 St,613,Subscriber,1
212597,W Broadway & Spring St,Hudson St & Reade St,610,Subscriber,1
297231,W 24 St & 7 Ave,Watts St & Greenwich St,985,Subscriber,1
439335,Pearl St & Hanover Square,Maiden Ln & Pearl St,154,Subscriber,1
420375,E 15 St & Irving Pl,W 49 St & 8 Ave,1820,Subscriber,1
387361,Avenue D & E 8 St,Stanton St & Chrystie St,927,Subscriber,1
