,start station name,end station name,tripduration,usertype,gender
122659,W 46 St & 11 Ave,Lefferts Pl & Franklin Ave,1285,Subscriber,1
348665,E 17 St & Broadway,9 Ave & W 22 St,572,Subscriber,1
411917,Broadway & W 51 St,W 26 St & 8 Ave,510,Subscriber,1
459686,11 Ave & W 59 St,E 15 St & 3 Ave,1437,Subscriber,1
189951,W 49 St & 8 Ave,E 47 St & Park Ave,598,Subscriber,1
77380,Peck Slip & Front St,E 2 St & Avenue B,424,Subscriber,1
498850,Broadway & W 37 St,W 39 St & 9 Ave,364,Subscriber,1
37637,6 Ave & Canal St,Howard St & Centre St,336,Subscriber,1
375855,York St & Jay St,Washington Park,2321,Subscriber,1
516883,MacDougal St & Prince St,9 Ave & W 14 St,858,Subscriber,1
284489,W 17 St & 8 Ave,John St & William St,1296,Subscriber,1
217070,Dean St & 4 Ave,W 37 St & 5 Ave,1283,Subscriber,1
232973,E 47 St & 2 Ave,Henry St & Grand St,1394,Subscriber,1
131479,W 38 St & 8 Ave,,1699,Subscriber,1
91213,8 Ave & W 33 St,W 27 St & 7 Ave,291,Subscriber,1
31422,LaGuardia Pl & W 3 St,,340,Subscriber,1
479059,12 Ave & W 40 St,E 2 St & 2 Ave,1115,Subscriber,1
74497,Christopher St & Greenwich St,E 13 St & Avenue A,1317,Subscriber,1
393020,Pershing Square North,W 33 St & 7 Ave,441,Subscriber,1
244252,John St & William St,Reade St & Broadway,585,Subscriber,1
149567,West Thames St,Front St & Maiden Ln,734,Subscriber,1
261945,9 Ave & W 22 St,Broadway & W 51 St,752,Subscriber,1
406745,E 24 St & Park Ave S,Centre St & Chambers St,1229,Subscriber,1
497683,Broadway & W 29 St,E 47 St & Park Ave,724,Subscriber,1
430853,Little West St & 1 Pl,E 2 St & Avenue C,1132,Subscriber,1
495156,W 25 St & 6 Ave,E 27 St & 1 Ave,452,Subscriber,1
492394,Lafayette St & E 8 St,Gallatin Pl & Livingston St,2445,Subscriber,2
528061,W 17 St & 8 Ave,Old Slip & Front St,1835,Subscriber,1
404475,Pershing Square North,E 15 St & 3 Ave,779,Subscriber,1
227202,E 53 St & Lexington Ave,Pershing Square South,395,Subscriber,1
498961,6 Ave & W 33 St,Barclay St & Church St,271,Subscriber,1
55039,Lafayette St & E 8 St,E 11 St & 1 Ave,261,Subscriber,1
508665,Greenwich St & North Moore St,Fulton St & William St,523,Subscriber,2
119095,E 53 St & Lexington Ave,Broadway & W 56 St,486,Subscriber,1
152709,1 Ave & E 30 St,E 20 St & 2 Ave,322,Subscriber,1
299837,Madison St & Clinton St,Front St & Maiden Ln,577,Subscriber,1
427245,Rivington St & Chrystie St,E 11 St & 2 Ave,497,Subscriber,1
290779,E 47 St & Park Ave,1 Ave & E 16 St,1130,Subscriber,2
312364,Great Jones St,Forsyth St & Broome St,723,Subscriber,1
144519,12 Ave & W 40 St,Stanton St & Chrystie St,1160,Subscriber,1
326381,Broadway & W 29 St,W 24 St & 7 Ave,279,Subscriber,1
428097,Vesey Pl & River Terrace,E 10 St & 5 Ave,819,Subscriber,1
483588,5 Ave & E 29 St,Mercer St & Bleecker St S,636,Subscriber,1
211467,W 20 St & 8 Ave,W 13 St & 6 Ave,451,Subscriber,1
120020,E 17 St & Broadway,W 11 St & 6 Ave,324,Subscriber,1
422289,Mercer St & Bleecker St S,Broadway & W 56 St,1314,Subscriber,1
448264,E 2 St & 2 Ave,Cleveland Pl & Spring St,356,Subscriber,1
229570,W 18 St & 6 Ave,W 20 St & 7 Ave,345,Subscriber,1
531564,Cleveland Pl & Spring St,Greenwich Ave & Charles St,664,Subscriber,1
450495,Cadman Plaza E & Tillary St,Harrison St & Hudson St,1194,Subscriber,1
30190,E 10 St & Avenue A,E 2 St & Avenue B,210,Subscriber,1
170492,Hudson St & Reade St,Duane St & Greenwich St,298,Subscriber,1
306768,E 23 St & 1 Ave,E 48 St & Madison Ave,1098,Subscriber,1
65163,Greenwich Ave & 8 Ave,Ashland Pl & Hanson Pl,341,Subscriber,1
96072,E 39 St & 2 Ave,E 4 St & 2 Ave,617,Subscriber,1
491705,E 33 St & 2 Ave,1 Ave & E 16 St,580,Subscriber,1
492763,E 7 St & Avenue A,Washington St & Gansevoort St,919,Subscriber,1
537132,W 38 St & 8 Ave,W 37 St & 10 Ave,1018,Subscriber,1
319498,W 56 St & 6 Ave,W 37 St & 5 Ave,611,Subscriber,1
488444,Washington Square E,E 16 St & 5 Ave,727,Subscriber,1
66696,LaGuardia Pl & W 3 St,,276,Subscriber,2
275612,Ashland Pl & Hanson Pl,Ashland Pl & Hanson Pl,78,Subscriber,1
481378,University Pl & E 14 St,Cherry St,585,Subscriber,1
174246,9 Ave & W 45 St,Market St & Cherry St,1910,Subscriber,1
108390,Broadway & Battery Pl,Broadway & Battery Pl,640,Subscriber,1
152244,University Pl & E 14 St,E 30 St & Park Ave S,681,Subscriber,1
165119,W 52 St & 5 Ave,W 52 St & 5 Ave,643,Subscriber,1
114720,St Marks Pl & 1 Ave,Broadway & W 41 St,2221,Subscriber,2
329453,W 17 St & 8 Ave,W 41 St & 8 Ave,561,Subscriber,1
498244,Johnson St & Gold St,Maiden Ln & Pearl St,977,Subscriber,1
59230,E 39 St & 2 Ave,E 20 St & FDR Drive,686,Subscriber,1
462857,6 Ave & Canal St,E 25 St & 2 Ave,1207,Subscriber,1
251550,Cliff St & Fulton St,,760,Subscriber,1
117781,W 33 St & 7 Ave,Little West St & 1 Pl,947,Subscriber,2
400131,8 Ave & W 33 St,,1882,Subscriber,1
84264,Reade St & Broadway,Henry St & Atlantic Ave,1135,Subscriber,1
243451,Canal St & Rutgers St,Broad St & Bridge St,885,Subscriber,2
124145,Broadway & W 37 St,Broadway & W 58 St,830,Subscriber,1
462385,Central Park S & 6 Ave,Broadway & W 60 St,200,Subscriber,1
381151,E 43 St & Vanderbilt Ave,E 56 St & 3 Ave,796,Subscriber,2
272483,W Broadway & Spring St,Vesey Pl & River Terrace,597,Subscriber,1
251255,1 Ave & E 16 St,1 Ave & E 44 St,728,Subscriber,1
265910,Lafayette St & E 8 St,Washington Pl & Broadway,145,Subscriber,1
78635,Broadway & W 24 St,W 29 St & 9 Ave,510,Subscriber,1
521424,W 49 St & 8 Ave,W 42 St & 8 Ave,272,Subscriber,1
465613,S Portland Ave & Hanson Pl,Forsyth St & Broome St,1775,Subscriber,1
446078,Old Slip & Front St,Mercer St & Spring St,1279,Subscriber,1
262550,Bank St & Hudson St,W 56 St & 6 Ave,285,Subscriber,2
118013,University Pl & E 14 St,2 Ave & E 58 St,1090,Subscriber,1
335136,Bank St & Washington St,West St & Chambers St,708,Subscriber,1
140365,W 20 St & 11 Ave,Lispenard St & Broadway,1195,Subscriber,1
31564,11 Ave & W 27 St,W 52 St & 11 Ave,534,Subscriber,1
512059,South St & Whitehall St,Madison St & Clinton St,619,Subscriber,2
515878,W 54 St & 9 Ave,12 Ave & W 40 St,1805,Subscriber,2
160741,Stanton St & Chrystie St,Allen St & Stanton St,118,Subscriber,0
324526,W 59 St & 10 Ave,Railroad Ave & Kay Ave,819,Subscriber,1
354683,Grand Army Plaza & Central Park S,West St & Chambers St,174,Subscriber,2
476276,Washington St & Gansevoort St,W 4 St & 7 Ave S,4137,Subscriber,1
533404,E 33 St & 2 Ave,Broadway & W 58 St,1204,Subscriber,1
201123,W 46 St & 11 Ave,Metropolitan Ave & Bedford Ave,1972,Subscriber,1
563909,9 Ave & W 18 St,W 11 St & 6 Ave,1342,Subscriber,1
492893,Cliff St & Fulton St,9 Ave & W 22 St,589,Subscriber,2
327159,E 13 St & Avenue A,Central Park S & 6 Ave,1949,Subscriber,1
330146,W 21 St & 6 Ave,Barrow St & Hudson St,638,Subscriber,1
386297,Lefferts Pl & Franklin Ave,Broadway & W 24 St,585,Subscriber,1
288805,West St & Chambers St,Broadway & W 41 St,297,Subscriber,1
355799,Centre St & Chambers St,Liberty St & Broadway,369,Subscriber,1
327376,Lexington Ave & E 29 St,Washington St & Gansevoort St,804,Subscriber,1
243865,8 Ave & W 33 St,Broadway & W 51 St,807,Subscriber,1
218016,Central Park S & 6 Ave,Central Park S & 6 Ave,103,Subscriber,1
333400,Canal St & Rutgers St,,487,Subscriber,2
488700,Shevchenko Pl & E 7 St,Dean St & 4 Ave,363,Subscriber,1
429472,W 38 St & 8 Ave,Broadway & W 24 St,598,Subscriber,1
408932,Watts St & Greenwich St,West St & Chambers St,270,Subscriber,1
7611,Centre St & Worth St,6 Ave & Broome St,246,Subscriber,1
408985,W 37 St & 10 Ave,W 26 St & 8 Ave,386,Subscriber,1
320165,Christopher St & Greenwich St,NYCBS Depot - DEL,956,Subscriber,1
191801,10 Ave & W 28 St,Lexington Ave & E 29 St,834,Subscriber,1
532284,Washington Pl & Broadway,Christopher St & Greenwich St,620,Subscriber,1
363141,Cherry St,Allen St & Stanton St,494,Subscriber,1
102347,Stanton St & Chrystie St,Stanton St & Chrystie St,525,Subscriber,1
330357,W 51 St & 6 Ave,2 Ave & E 31 St,1171,Subscriber,1
175501,MacDougal St & Prince St,11 Ave & W 59 St,1589,Subscriber,2
329497,9 Ave & W 18 St,W 15 St & 7 Ave,253,Subscriber,1
227853,Centre St & Worth St,Washington Pl & Broadway,679,Subscriber,1
548312,W 49 St & 8 Ave,W 26 St & 8 Ave,1484,Subscriber,1
132670,E 39 St & 2 Ave,6 Ave & Canal St,35570,Subscriber,1
223561,Broadway & W 32 St,W 51 St & 6 Ave,580,Subscriber,1
144000,Greenwich St & W Houston St,Broadway & E 22 St,632,Subscriber,1
264372,9 Ave & W 22 St,W 17 St & 8 Ave,255,Subscriber,1
1715,E 7 St & Avenue A,E 14 St & Avenue B,428,Subscriber,1
306315,E 43 St & Vanderbilt Ave,6 Ave & Canal St,1117,Subscriber,1
477378,E 30 St & Park Ave S,6 Ave & Canal St,1800,Subscriber,2
194951,Pearl St & Hanover Square,Pitt St & Stanton St,823,Subscriber,1
567329,Fulton St & Clermont Ave,Washington Ave & Greene Ave,238,Subscriber,2
472901,W 27 St & 7 Ave,W 20 St & 11 Ave,419,Subscriber,1
143965,W 56 St & 10 Ave,W 54 St & 9 Ave,2453,Subscriber,2
145684,William St & Pine St,Laight St & Hudson St,512,Subscriber,2
505825,Fulton St & William St,South St & Gouverneur Ln,312,Subscriber,1
89000,W 54 St & 9 Ave,9 Ave & W 16 St,1059,Subscriber,1
156724,Broadway & W 36 St,E 10 St & 5 Ave,578,Subscriber,1
417966,E 47 St & 2 Ave,W 45 St & 6 Ave (1),423,Subscriber,1
576211,West St & Chambers St,West St & Chambers St,2046,Subscriber,1
214746,Bayard St & Baxter St,1 Ave & E 16 St,1343,Subscriber,2
197956,Pearl St & Anchorage Pl,Division St & Bowery,1761,Subscriber,1
33141,E 33 St & 2 Ave,Franklin St & W Broadway,966,Subscriber,2
422976,W 20 St & 8 Ave,DeKalb Ave & Hudson Ave,484,Subscriber,1
276743,E 32 St & Park Ave,W 39 St & 9 Ave,1707,Subscriber,2
1643,9 Ave & W 22 St,Cadman Plaza West & Montague St,786,Subscriber,1
248404,W 41 St & 8 Ave,Broadway & E 14 St,919,Subscriber,1
80433,E 2 St & Avenue B,E 45 St & 3 Ave,967,Subscriber,2
158416,Broadway & W 29 St,W 45 St & 6 Ave (1),435,Subscriber,1
323652,W 22 St & 8 Ave,W 26 St & 8 Ave,196,Subscriber,1
391531,Greenwich St & W Houston St,Hicks St & Montague St,234,Subscriber,2
499424,E 24 St & Park Ave S,E 20 St & 2 Ave,167,Subscriber,1
474662,Clermont Ave & Lafayette Ave,E 45 St & 3 Ave,2057,Subscriber,1
496380,Broadway & W 60 St,E 16 St & 5 Ave,407,Subscriber,1
18889,W 52 St & 11 Ave,West St & Chambers St,1567,Subscriber,1
168852,W 33 St & 7 Ave,8 Ave & W 52 St,711,Subscriber,1
489638,W 52 St & 9 Ave,Broadway & W 29 St,982,Subscriber,2
520119,E 2 St & Avenue C,Mott St & Prince St,746,Subscriber,2
62052,Lexington Ave & E 24 St,W 20 St & 11 Ave,664,Subscriber,1
219625,Madison St & Montgomery St,Henry St & Grand St,139,Subscriber,1
428384,6 Ave & Broome St,9 Ave & W 14 St,1037,Subscriber,1
485964,Centre St & Chambers St,Elizabeth St & Hester St,690,Subscriber,1
542833,St Marks Pl & 2 Ave,W 11 St & 6 Ave,514,Subscriber,1
356597,3 Ave & Schermerhorn St,Henry St & Atlantic Ave,658,Subscriber,1
274136,Barclay St & Church St,W 22 St & 8 Ave,1291,Subscriber,1
53293,Madison St & Clinton St,Forsyth St & Broome St,398,Subscriber,1
393541,Mott St & Prince St,Broadway & W 29 St,1330,Subscriber,2
459690,Broadway & E 14 St,St Marks Pl & 2 Ave,328,Subscriber,1
